2025-03-02 18:36:36,298 - INFO - Starting monitor for user ID: 15
2025-03-02 18:36:36,302 - INFO - Logs will be saved to: monitor_log_15_2025-03-02_18-36-36.txt
2025-03-02 18:36:36,302 - INFO - Current working directory: /home/runner/workspace
2025-03-02 18:36:36,302 - INFO - Created tracking file: monitor_process_15.json
2025-03-02 18:36:36,302 - INFO - Starting monitor for user 15
2025-03-02 18:36:36,302 - INFO - main.py path: /home/runner/workspace/main.py
2025-03-02 18:36:36,303 - INFO - Current working directory: /home/runner/workspace
2025-03-02 18:36:36,303 - INFO - Environment variables set for monitor process:
2025-03-02 18:36:36,303 - INFO - - MONITOR_USER_ID: 15
2025-03-02 18:36:36,303 - INFO - - DISCORD_WEBHOOK_URL: Set
2025-03-02 18:36:36,303 - INFO - - PYTHONPATH: /home/runner/workspace
2025-03-02 18:36:36,304 - INFO - Started process with PID 3460
2025-03-02 18:36:36,304 - INFO - Updated tracking file with PID: 3460
2025-03-02 18:37:03,273 - INFO - 2025-03-02 18:37:03,273 - INFO - Successfully notified about product: Jordan Women's 1 Retro High OG Metallic Silver / Photon Dust - Sail
2025-03-02 18:37:03,374 - INFO - 2025-03-02 18:37:03,273 - INFO - [User 15] New product/restock found on https://www.deadstock.ca: Nike Dunk Low Retro PRM Red Stardust / Summit White - Sanddrift
2025-03-02 18:37:05,704 - INFO - 2025-03-02 18:37:05,704 - INFO - Successfully notified about product: Nike Dunk Low Retro PRM Red Stardust / Summit White - Sanddrift
2025-03-02 18:37:05,805 - INFO - 2025-03-02 18:37:05,704 - INFO - Processing 1 stores for retailer: www.bowsandarrowsberkeley.com
2025-03-02 18:37:05,905 - INFO - 2025-03-02 18:37:05,705 - INFO - Fetching products from https://www.bowsandarrowsberkeley.com with keywords: ['Jordan', 'Nike']
2025-03-02 18:37:06,005 - INFO - 2025-03-02 18:37:05,763 - INFO - Successfully resolved www.bowsandarrowsberkeley.com to 23.227.38.74 using ['127.0.0.11']
2025-03-02 18:37:06,106 - INFO - 2025-03-02 18:37:05,772 - INFO - Making initial request to https://www.bowsandarrowsberkeley.com/products.json?limit=150
2025-03-02 18:37:06,206 - INFO - 2025-03-02 18:37:05,875 - INFO - Retrieved 150 products from initial request
2025-03-02 18:37:06,306 - INFO - 2025-03-02 18:37:05,877 - INFO - Found total of 19 matching products
2025-03-02 18:37:06,406 - INFO - 2025-03-02 18:37:05,877 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: T90 SP (Black/White)
2025-03-02 18:37:08,305 - INFO - 2025-03-02 18:37:08,304 - INFO - Successfully notified about product: T90 SP (Black/White)
2025-03-02 18:37:08,406 - INFO - 2025-03-02 18:37:08,306 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: T90 SP (Metallic Silver/Black)
2025-03-02 18:37:10,943 - INFO - 2025-03-02 18:37:10,943 - INFO - Successfully notified about product: T90 SP (Metallic Silver/Black)
2025-03-02 18:37:11,043 - INFO - 2025-03-02 18:37:10,943 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Flightposite QS (Black/Black)
2025-03-02 18:37:13,410 - INFO - 2025-03-02 18:37:13,409 - INFO - Successfully notified about product: Air Flightposite QS (Black/Black)
2025-03-02 18:37:13,510 - INFO - 2025-03-02 18:37:13,410 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: LD-1000 SP (Light British Tan)
2025-03-02 18:37:15,928 - INFO - 2025-03-02 18:37:15,927 - INFO - Successfully notified about product: LD-1000 SP (Light British Tan)
2025-03-02 18:37:16,028 - INFO - 2025-03-02 18:37:15,928 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Aqua Turf (Deep Night/Laser Orange)
2025-03-02 18:37:18,514 - INFO - 2025-03-02 18:37:18,514 - INFO - Successfully notified about product: Aqua Turf (Deep Night/Laser Orange)
2025-03-02 18:37:18,614 - INFO - 2025-03-02 18:37:18,514 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Aqua Turf (Black/Black)
2025-03-02 18:37:20,931 - INFO - 2025-03-02 18:37:20,931 - INFO - Successfully notified about product: Aqua Turf (Black/Black)
2025-03-02 18:37:21,031 - INFO - 2025-03-02 18:37:20,931 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Zoom Spiridon SP (Metallic Silver)
2025-03-02 18:37:23,335 - INFO - 2025-03-02 18:37:23,335 - INFO - Successfully notified about product: Air Zoom Spiridon SP (Metallic Silver)
2025-03-02 18:37:23,436 - INFO - 2025-03-02 18:37:23,336 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Women's Air Superfly (Metallic/Black)
2025-03-02 18:37:25,753 - INFO - 2025-03-02 18:37:25,753 - INFO - Successfully notified about product: Women's Air Superfly (Metallic/Black)
2025-03-02 18:37:25,854 - INFO - 2025-03-02 18:37:25,754 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Women's LD-1000 (White/Black)
2025-03-02 18:37:28,230 - INFO - 2025-03-02 18:37:28,229 - INFO - Successfully notified about product: Women's LD-1000 (White/Black)
2025-03-02 18:37:28,330 - INFO - 2025-03-02 18:37:28,230 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Tech Challenge II (White/Racer Pink)
2025-03-02 18:37:30,802 - INFO - 2025-03-02 18:37:30,802 - INFO - Successfully notified about product: Air Tech Challenge II (White/Racer Pink)
2025-03-02 18:37:30,903 - INFO - 2025-03-02 18:37:30,802 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air 180 (University Blue/Hyper Pink)
2025-03-02 18:37:33,391 - INFO - 2025-03-02 18:37:33,390 - INFO - Successfully notified about product: Air 180 (University Blue/Hyper Pink)
2025-03-02 18:37:33,491 - INFO - 2025-03-02 18:37:33,391 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Zoom Spiridon SP (Black/Metallic Silver)
2025-03-02 18:37:35,922 - INFO - 2025-03-02 18:37:35,922 - INFO - Successfully notified about product: Air Zoom Spiridon SP (Black/Metallic Silver)
2025-03-02 18:37:36,022 - INFO - 2025-03-02 18:37:35,922 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Max SNDR (Safety Orange/White)
2025-03-02 18:37:38,348 - INFO - 2025-03-02 18:37:38,347 - INFO - Successfully notified about product: Air Max SNDR (Safety Orange/White)
2025-03-02 18:37:38,448 - INFO - 2025-03-02 18:37:38,348 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Gato (Pine Green)
2025-03-02 18:37:40,772 - INFO - 2025-03-02 18:37:40,772 - INFO - Successfully notified about product: Gato (Pine Green)
2025-03-02 18:37:40,873 - INFO - 2025-03-02 18:37:40,772 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Air Zoom Spiridon SP (Silver/Red)
2025-03-02 18:37:43,220 - INFO - 2025-03-02 18:37:43,219 - INFO - Successfully notified about product: Air Zoom Spiridon SP (Silver/Red)
2025-03-02 18:37:43,320 - INFO - 2025-03-02 18:37:43,220 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Nike No Finish Line Book
2025-03-02 18:37:45,880 - INFO - 2025-03-02 18:37:45,879 - INFO - Successfully notified about product: Nike No Finish Line Book
2025-03-02 18:37:45,980 - INFO - 2025-03-02 18:37:45,880 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: ACG IZY (Black)
2025-03-02 18:37:48,288 - INFO - 2025-03-02 18:37:48,288 - INFO - Successfully notified about product: ACG IZY (Black)
2025-03-02 18:37:48,388 - INFO - 2025-03-02 18:37:48,288 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: ACG IZY (Khaki)
2025-03-02 18:37:50,744 - INFO - 2025-03-02 18:37:50,744 - INFO - Successfully notified about product: ACG IZY (Khaki)
2025-03-02 18:37:50,845 - INFO - 2025-03-02 18:37:50,745 - INFO - [User 15] New product/restock found on https://www.bowsandarrowsberkeley.com: Clogposite (Black/Metallic Gold)
